task,size,acc,snr_ours,snr_sn
openbookqa,16M,0.6566666666666666,0.7232757588748313,0.39580775579191646
piqa,16M,0.7833333333333333,0.9926031775219781,1.0388705011450492
socialiqa,16M,0.7066666666666667,0.5931424135256351,0.6383795770280323
winogrande,16M,0.3433333333333333,0.6435048701444981,0.785975290756249
arc_challenge,20M,0.7966666666666666,0.7212676326938595,0.3587264886080604
arc_easy,20M,0.8933333333333333,3.833764426919245,2.1902037985344793
boolq,20M,0.5033333333333333,0.35182013174720217,0.7457542662727086
csqa,20M,0.65,1.1588960832986814,0.6212400195170655
hellaswag,20M,0.28762541806020064,0.8596069408776772,0.47806585407597935
mmlu,20M,0.8433333333333334,2.235802548915554,0.7638468449121011
openbookqa,20M,0.6933333333333334,0.6956456624830507,0.3954107451525041
piqa,20M,0.71,1.0845100054905035,0.7606267836409962
socialiqa,20M,0.6166666666666667,0.4000862140242065,0.5600200782374142
winogrande,20M,0.44333333333333336,0.0,0.46915930236364217
arc_challenge,60M,0.8233333333333334,1.4712830176814728,1.0471332122589612
arc_easy,60M,0.93,6.6495700193134,5.989796904650117
boolq,60M,0.5133333333333333,0.0,1.1982723483679485
csqa,60M,0.6966666666666667,1.1790897946006804,1.3827429715753354
hellaswag,60M,0.4882943143812709,1.4573890562175873,1.196141810493473
mmlu,60M,0.8433333333333334,3.081364144813527,1.309491718805357
openbookqa,60M,0.69,0.9932588719793275,1.0754643103498176
piqa,60M,0.7033333333333334,1.8125938001938142,1.433727654698598
socialiqa,60M,0.73,0.6045031242670162,0.711935888909057
winogrande,60M,0.48,0.17256343219026601,0.6263841831207373
arc_challenge,90M,0.8966666666666666,2.5224059282802758,1.3695568191559477
arc_easy,90M,0.94,5.82495584195672,5.522167059625726
boolq,90M,0.6,0.7033296981985112,1.41606087977208
csqa,90M,0.7333333333333333,1.4542023712671979,1.4886669728046071
hellaswag,90M,0.6254180602006689,2.203391728314719,0.9216451278898248
mmlu,90M,0.9033333333333333,4.074834561647281,1.464128034135564
openbookqa,90M,0.7933333333333333,1.281142217063039,0.9641353811403043
piqa,90M,0.7833333333333333,1.2750656569382464,1.3579040870716743
socialiqa,90M,0.65,0.5560707024982376,0.6803103617740293
winogrande,90M,0.46,0.0,0.6130573336095164
arc_challenge,150M,0.8466666666666667,2.9337260059953745,1.8486220412139331
arc_easy,150M,0.95,8.195450362713414,8.466484024731368
boolq,150M,0.6133333333333333,1.1490841699322076,2.146987119200701
csqa,150M,0.7433333333333333,1.3308276386100464,1.8387207506592218
hellaswag,150M,0.7123745819397993,2.7623477114189234,1.6719967902152924
mmlu,150M,0.9133333333333333,4.415480701710925,2.216389166765151
openbookqa,150M,0.8166666666666667,1.3943287346220334,1.3266790737393352
piqa,150M,0.8033333333333333,1.989112412676526,2.100781316165118
socialiqa,150M,0.6733333333333333,0.7617462859079873,0.7930507663186137
winogrande,150M,0.4533333333333333,0.3211672654790183,0.6938704038025725
arc_challenge,300M,0.9266666666666666,3.6947461122544274,2.9128448563866915
arc_easy,300M,0.9533333333333334,8.434473738937594,14.308137068892618
boolq,300M,0.6566666666666666,0.8610185343926287,2.0950584925740574
csqa,300M,0.8433333333333334,1.943854612864864,2.7878714348432765
hellaswag,300M,0.862876254180602,4.028956744066941,3.0299232335833035
mmlu,300M,0.9033333333333333,5.51102996855912,3.783289639700075
openbookqa,300M,0.8233333333333334,1.594053954519293,1.683659917059945
piqa,300M,0.8,1.6728754835670119,2.4346137288904335
socialiqa,300M,0.7433333333333333,1.1715946287424832,1.5913130857259685
winogrande,300M,0.7133333333333334,0.4300506435470631,1.0027346288980703
arc_challenge,530M,0.9366666666666666,3.7900537236191862,2.5017851837206435
arc_easy,530M,0.97,6.450306577918771,6.878697305020745
boolq,530M,0.68,0.7414782875376109,0.9970876365158494
csqa,530M,0.8466666666666667,2.2134322633801653,2.1655450922178723
hellaswag,530M,0.9163879598662207,6.6061489576573535,2.862603957619163
mmlu,530M,0.9533333333333334,7.609636762983512,2.6004121227685015
openbookqa,530M,0.8333333333333334,1.7571968497518595,1.5563971598536515
piqa,530M,0.8166666666666667,1.885341411719624,2.224477221630869
socialiqa,530M,0.8133333333333334,1.055683689485659,1.2171245572049139
winogrande,530M,0.8,1.2106659745750254,1.3207206133077345
arc_challenge,750M,0.94,3.6897538832697716,1.6297498311051843
arc_easy,750M,0.9666666666666667,5.635470006036089,4.7016908069339705
boolq,750M,0.6166666666666667,0.7449292852076611,0.7425978867087981
csqa,750M,0.8133333333333334,1.5836462682473018,1.0906382929797944
hellaswag,750M,0.9163879598662207,5.985371980411424,1.7888809412786042
mmlu,750M,0.9366666666666666,5.839833288640087,2.123458736759308
openbookqa,750M,0.7866666666666666,1.594180304480695,0.7901976809623682
piqa,750M,0.7966666666666666,1.7581768807513414,1.4496491993735843
socialiqa,750M,0.82,1.1185279816914957,0.6846318949877253
winogrande,750M,0.69,0.4667394260071035,0.5366056205215578
