size,estimand,B,boot_mean,lo,hi,cluster
20M,nas_weighted,500,0.376760783531665,0.32706393693489577,0.4378833653505508,recipe
20M,er_real_share,500,0.2639873305199152,0.20852641647477108,0.3158546965510008,recipe
20M,noise_share,500,0.26165057801365627,0.16922621451078282,0.35815273546573567,recipe
20M,discord_share,500,0.7383494219863437,0.6418472645342643,0.830773785489217,recipe
90M,exp_errors,500,803.08716,723.7909166666666,905.0511666666667,recipe
90M,mean_p_flip,500,0.22038721850067378,0.1888669029995799,0.25981864649802444,recipe
90M,nas_weighted,500,0.3878700293743548,0.33989486062336083,0.434959526285025,recipe
90M,er_real_share,500,0.14122124691802687,0.10429377065779655,0.17729770190592825,recipe
90M,noise_share,500,0.3054847661265201,0.2090584130344015,0.4179408627432746,recipe
90M,discord_share,500,0.6945152338734799,0.5820591372567253,0.7909415869655986,recipe
150M,exp_errors,500,748.2066200000002,664.5549166666666,853.9545833333333,recipe
150M,mean_p_flip,500,0.18497158291749657,0.16142864257097245,0.21357082305476066,recipe
150M,nas_weighted,500,0.345533164614342,0.29135510046021335,0.4020269066696078,recipe
150M,er_real_share,500,0.13157713895556453,0.09347660324910724,0.1680584186200996,recipe
150M,noise_share,500,0.29008312313921397,0.19924642033159984,0.39901737446580987,recipe
150M,discord_share,500,0.7099168768607861,0.6009826255341902,0.8007535796684002,recipe
530M,exp_errors,500,479.80424,409.75725,565.7021666666666,recipe
530M,mean_p_flip,500,0.14494503488503396,0.12534876718185842,0.17084433434531093,recipe
530M,nas_weighted,500,0.3724033208474035,0.32869959357248124,0.4247669424796739,recipe
530M,er_real_share,500,0.05250611137713803,0.03900474187292398,0.06862266073939127,recipe
530M,noise_share,500,0.3862864268305878,0.2964123364389997,0.5123548326337802,recipe
530M,discord_share,500,0.6137135731694122,0.4876451673662196,0.7035876635610003,recipe
300M,exp_errors,500,553.5275333333333,470.8506666666667,661.578,recipe
300M,mean_p_flip,500,0.17106299178898335,0.14491401101928206,0.19804986507631836,recipe
300M,nas_weighted,500,0.38298701752187264,0.3346739693214067,0.43306135359958225,recipe
300M,er_real_share,500,0.06485814804631601,0.04810371194103352,0.08509718728260478,recipe
300M,noise_share,500,0.37616491699049465,0.2531436454463402,0.5125927815907864,recipe
300M,discord_share,500,0.6238350830095053,0.4874072184092135,0.7468563545536596,recipe
750M,exp_errors,500,558.3155933333333,477.2996666666667,688.4373333333332,recipe
750M,mean_p_flip,500,0.17602343499027193,0.1505213635135442,0.2108216002397239,recipe
750M,nas_weighted,500,0.382566204166352,0.32604301182624135,0.43736107978047356,recipe
750M,er_real_share,500,0.06956973860763813,0.0486046363552084,0.09217162184724675,recipe
750M,noise_share,500,0.3571544772137041,0.2416682316033882,0.4817965644674423,recipe
750M,discord_share,500,0.642845522786296,0.5182034355325577,0.7583317683966116,recipe
4M,exp_errors,2000,1327.8385826249998,1015.7008500000001,1599.3605999999997,task
4M,mean_p_flip,2000,0.3627591354325776,0.279844362201996,0.4393749312023148,task
4M,nas_weighted,2000,0.41142311967363265,0.3548392387505419,0.46520751129492943,task
4M,er_real_share,2000,0.37192170953779985,0.2123263310027416,0.5344015912946554,task
4M,noise_share,2000,0.22923570844651905,0.1263338096587843,0.34334711507330873,task
4M,discord_share,2000,0.7707642915534809,0.6566528849266912,0.8736661903412155,task
6M,exp_errors,2000,1187.9104745,885.8493125,1519.3273625,task
6M,mean_p_flip,2000,0.3212710060002153,0.25013308761239367,0.38745058762763096,task
6M,nas_weighted,2000,0.41885966400340874,0.31769993051100703,0.5277930971081051,task
6M,er_real_share,2000,0.33514825218282784,0.1772487802582107,0.5284065054249495,task
6M,noise_share,2000,0.3675018321757129,0.19931283088821566,0.577871043766293,task
6M,discord_share,2000,0.632498167824287,0.42212895623370666,0.8006871691117841,task
8M,exp_errors,2000,1040.59852425,771.8023875,1315.1428437499999,task
8M,mean_p_flip,2000,0.31777555688427106,0.24093788576210762,0.3993724660024178,task
8M,nas_weighted,2000,0.42305682770931596,0.3626774472697343,0.47842614005020134,task
