task,size,n_pairs,errors,err_any_unstable,share_err_any_unstable,share_pairs_unstable,acc
boolq,8M,300,185,157,0.8486486486486486,0.87,0.38333333333333336
boolq,10M,300,166,145,0.8734939759036144,0.8833333333333333,0.44666666666666666
boolq,14M,300,137,115,0.8394160583941606,0.8566666666666667,0.5433333333333333
boolq,16M,300,146,127,0.8698630136986302,0.8633333333333333,0.5133333333333333
boolq,20M,300,149,138,0.9261744966442953,0.8833333333333333,0.5033333333333333
boolq,60M,300,146,137,0.9383561643835616,0.8733333333333333,0.5133333333333333
boolq,90M,300,120,110,0.9166666666666666,0.9066666666666666,0.6
boolq,150M,300,116,87,0.75,0.7666666666666667,0.6133333333333333
boolq,300M,300,103,91,0.883495145631068,0.83,0.6566666666666666
boolq,530M,300,96,86,0.8958333333333334,0.7966666666666666,0.68
boolq,750M,300,115,94,0.8173913043478261,0.8133333333333334,0.6166666666666667
csqa,4M,300,99,83,0.8383838383838383,0.76,0.67
csqa,6M,300,117,97,0.8290598290598291,0.7366666666666667,0.61
csqa,8M,300,114,78,0.6842105263157895,0.6666666666666666,0.62
csqa,10M,300,74,62,0.8378378378378378,0.63,0.7533333333333333
csqa,14M,300,71,68,0.9577464788732394,0.7366666666666667,0.7633333333333333
csqa,16M,300,119,99,0.8319327731092437,0.6333333333333333,0.6033333333333334
csqa,20M,300,105,71,0.6761904761904762,0.5833333333333334,0.65
csqa,60M,300,91,65,0.7142857142857143,0.5833333333333334,0.6966666666666667
csqa,90M,300,80,57,0.7125,0.5033333333333333,0.7333333333333333
csqa,150M,300,77,59,0.7662337662337663,0.58,0.7433333333333333
csqa,300M,300,47,37,0.7872340425531915,0.43333333333333335,0.8433333333333334
csqa,530M,300,46,40,0.8695652173913043,0.44,0.8466666666666667
csqa,750M,300,56,49,0.875,0.5166666666666667,0.8133333333333334
hellaswag,4M,299,196,133,0.6785714285714286,0.7157190635451505,0.34448160535117056
hellaswag,6M,299,187,92,0.4919786096256685,0.5551839464882943,0.3745819397993311
hellaswag,8M,299,158,91,0.5759493670886076,0.6287625418060201,0.47157190635451507
hellaswag,10M,299,156,83,0.532051282051282,0.5351170568561873,0.4782608695652174
