task,size,estimand,B,boot_mean,lo,hi
openbookqa,150M,share_pflip_gt25,1000,0.3232966666666667,0.20333333333333334,0.5401666666666666
openbookqa,150M,exp_errors_noise,1000,22.009275000000002,13.5070625,38.3980625
openbookqa,150M,exp_errors_discord,1000,34.5800775,9.378375000000002,62.75781249999999
openbookqa,150M,exp_errors_pros1,1000,79.50409228897095,59.836224269866946,107.68804988861083
openbookqa,150M,er_pick_latent,1000,0.01584571383205184,0.000960297060373705,0.03224620800465346
openbookqa,150M,noise_share,1000,0.40561176409098093,0.21139516867633373,0.7892157900100494
openbookqa,150M,discord_share,1000,0.594388235909019,0.21078420998995048,0.7886048313236662
piqa,150M,mean_p_flip,1000,0.16389678338170052,0.10677871890366078,0.24973763823509215
piqa,150M,exp_errors,1000,53.61501,32.030125000000005,78.39793749999998
piqa,150M,er_real_share,1000,0.05573863981012255,0.021723371976986528,0.1201832441613078
piqa,150M,er_pick_real,1000,0.0026008036423196827,2.640030834299978e-05,0.009552586497738956
piqa,150M,nas_weighted,1000,0.4050918968969528,0.28373165006985407,0.5390908696363458
piqa,150M,share_pflip_gt25,1000,0.29018333333333335,0.16666666666666666,0.48333333333333334
piqa,150M,exp_errors_noise,1000,23.511300000000002,12.66425,43.87668749999998
piqa,150M,exp_errors_discord,1000,30.10371,9.2045,56.110625000000006
piqa,150M,exp_errors_pros1,1000,66.76915223312378,46.573382663726804,97.05155124664306
piqa,150M,er_pick_latent,1000,0.0019333734941509987,0.00011817984923254699,0.006216412875801322
piqa,150M,noise_share,1000,0.4478693399375559,0.24017192083675767,0.7830531384315413
piqa,150M,discord_share,1000,0.5521306600624442,0.21694686156845863,0.7598280791632424
socialiqa,150M,mean_p_flip,1000,0.3005516938865185,0.19494545757770537,0.4535736322402953
socialiqa,150M,exp_errors,1000,88.76077000000001,53.41318749999999,129.156875
socialiqa,150M,er_real_share,1000,0.20196614620648323,0.07902885060757399,0.38153569921851155
socialiqa,150M,er_pick_real,1000,0.006489183894649614,0.0018848682433599607,0.01231641846243292
socialiqa,150M,nas_weighted,1000,0.4378757294908765,0.31437307247061996,0.5627218906923294
socialiqa,150M,share_pflip_gt25,1000,0.5912633333333334,0.3299166666666667,1.0
socialiqa,150M,exp_errors_noise,1000,41.6440525,18.3388125,76.4356875
socialiqa,150M,exp_errors_discord,1000,47.1167175,10.0876875,85.0825625
socialiqa,150M,exp_errors_pros1,1000,109.13768126678467,75.85009822845458,146.74479598999022
socialiqa,150M,er_pick_latent,1000,0.006087113771758595,0.0005658720852807164,0.015472249896265564
socialiqa,150M,noise_share,1000,0.4817677219565411,0.2351125872978033,0.8411147739708854
socialiqa,150M,discord_share,1000,0.5182322780434591,0.15888522602911448,0.7648874127021965
winogrande,150M,mean_p_flip,1000,0.4313119484782219,0.2866870664060116,0.5
winogrande,150M,exp_errors,1000,159.92220999999998,116.10462499999998,202.17031250000002
winogrande,150M,er_real_share,1000,0.5586383554339409,0.34639063104987144,0.7576385691761971
winogrande,150M,er_pick_real,1000,0.030970200986674173,0.011870762938633561,0.05993668409064412
winogrande,150M,nas_weighted,1000,0.4202776211616242,0.2540288834922045,0.5055860907419119
winogrande,150M,share_pflip_gt25,1000,0.9146466666666667,0.5698333333333333,1.0
winogrande,150M,exp_errors_noise,1000,27.32006,0.0,75.64574999999999
winogrande,150M,exp_errors_discord,1000,132.60215000000002,59.721125,187.9954375
winogrande,150M,exp_errors_pros1,1000,154.7921962890625,136.38592185974122,182.05512390136718
winogrande,150M,er_pick_latent,1000,0.03260385083676374,0.003951635048724711,0.06377685815095901
winogrande,150M,noise_share,1000,0.1746897161370273,0.0,0.5352642814550725
winogrande,150M,discord_share,1000,0.8253102838629727,0.46473571854492723,1.0
olmes_10_macro_avg,8M,mean_p_flip,1000,0.4020887882709503,0.26344253569841386,0.5
olmes_10_macro_avg,8M,exp_errors,1000,131.11765500000004,93.76525000000001,174.62099999999998
olmes_10_macro_avg,8M,er_real_share,1000,0.39061184595525267,0.21502752415835857,0.6076768770813942
olmes_10_macro_avg,8M,er_pick_real,1000,0.026499490646994674,0.004844386759214103,0.04813596401363611
olmes_10_macro_avg,8M,nas_weighted,1000,0.4544012501512961,0.305595317581507,0.5818057782419922
olmes_10_macro_avg,8M,share_pflip_gt25,1000,0.8387366666666667,0.4999166666666667,1.0
olmes_10_macro_avg,8M,exp_errors_noise,1000,38.846625,0.0,92.30574999999997
olmes_10_macro_avg,8M,exp_errors_discord,1000,92.27103,25.335250000000002,167.237
olmes_10_macro_avg,8M,exp_errors_pros1,1000,138.202780960083,110.42561168670655,156.43722953796387
olmes_10_macro_avg,8M,er_pick_latent,1000,0.02211694407337927,0.0025390571099705994,0.048575531318783734
olmes_10_macro_avg,8M,noise_share,1000,0.3111526507392681,0.0,0.7654078393658402
olmes_10_macro_avg,8M,discord_share,1000,0.6888473492607319,0.23459216063415925,1.0
