n_recipes,n_pairs,mX,omX,mY,omY,rho,lamX,zetX,lamY,zetY,med_sigX,med_sigY,mean_p_flip,mean_p_flip_single,share_pflip_gt10,share_pflip_gt25,exp_errors,exp_errors_discord,exp_errors_noise,exp_discord_pairs,exp_errors_pros3,exp_errors_pros1,er_real,er_pros,er_real_share,er_pros_share,er_per_decision,er_pick_real,er_pick_pros,er_pick_latent,nas_c10,nas_c25,nas_weighted,task,size
25,300,0.3541189674523008,0.02611430997906652,0.6961167227833893,0.0629770973570268,0.8868005260864549,-4.886688329504529,0.02,-4.656068008178925,0.09761793517462179,0.0075463722377819885,0.009503757728858475,0.07010666525822375,0.1003378396286292,0.23666666666666666,0.10333333333333333,33.4225,25.308750000000003,8.11375,31.386249999999997,34.91572423057153,40.881301208141146,0.9268620475837317,1.008739144176603,0.04226674603819262,0.04600050389035326,0.003089540158612439,0.022474503993086637,0.016610968479335405,0.018470039066435708,0.8782781060662728,0.526366968359638,0.28935302623253784,arc_easy,14M
25,300,0.36179573512906843,0.031148892240841688,0.6961167227833893,0.0629770973570268,0.845385296600149,-4.957346505525383,0.02,-4.656068008178925,0.09761793517462179,0.007031561308819953,0.009503757728858475,0.06596023561549441,0.09178801705142949,0.22,0.11333333333333333,36.7105,29.52575,7.18475,36.249500000000005,38.423784213896695,42.451457016306534,1.2727569323130625,1.2920736139749132,0.05802589099271691,0.058906552206177784,0.004242523107710209,0.023053511371123107,0.012659907404780369,0.013070863173627791,0.7849321038939812,0.4720379727870772,0.2452921542260935,arc_easy,16M
25,300,0.36929292929292934,0.03670965346620271,0.6961167227833893,0.0629770973570268,0.8473688193873588,-4.7531140769438815,0.09859064115507175,-4.656068008178925,0.09761793517462179,0.008624795064851906,0.009503757728858475,0.06756511240137424,0.09609670335643979,0.21,0.11333333333333333,33.82575,26.6475,7.17825,33.29825,36.36239226637207,41.6759198260267,0.9927921156987733,1.114258364184201,0.04527969736699189,0.05081958319480477,0.0033093070523292443,0.02255751044540439,0.020705895707787598,0.02208449347812646,0.7554451859899632,0.5188724566343688,0.2605895153402049,arc_easy,20M
25,300,0.44542648709315374,0.053764208946312037,0.6961167227833893,0.0629770973570268,0.892567304193952,-4.799526808732421,0.02,-4.656068008178925,0.09761793517462179,0.008233642214964585,0.009503757728858475,0.053814784744316765,0.06884869193473696,0.16,0.10666666666666667,22.1575,16.56925,5.5882499999999995,23.6295,25.68234028611243,28.776137740247812,0.4023405298252581,0.5609050537426585,0.01835157446296062,0.025584026707127738,0.001341135099417527,0.02169511418256704,0.021657772096937287,0.02169511418256704,0.7635902064763626,0.547105946067923,0.2828270222455988,arc_easy,60M
25,300,0.4831818181818182,0.06190828162844763,0.6961167227833893,0.0629770973570268,0.9312387939796162,-4.522773741788896,0.02,-4.656068008178925,0.09761793517462179,0.010858862177995731,0.009503757728858475,0.056219022049784045,0.07204173505765996,0.17666666666666667,0.09666666666666666,20.26325,13.6165,6.646750000000001,19.9575,22.56779863512213,26.185886804773446,0.3796376339763282,0.4632470429876439,0.017316623835225066,0.021130346594398903,0.001265458779921094,0.02211268685104369,0.016170425429902296,0.017951226105752838,0.8762044588109016,0.700985774739985,0.3538668245112112,arc_easy,90M
25,300,0.5211784511784512,0.06789728525118513,0.6961167227833893,0.0629770973570268,0.9496064189914146,-4.812124186356665,0.02,-4.656068008178925,0.09761793517462179,0.00813057049451987,0.009503757728858475,0.029587526232305213,0.04142562699633869,0.08333333333333333,0.056666666666666664,16.41,12.715250000000001,3.69475,15.575500000000002,16.849786475040553,19.196176611170305,0.2206280062569132,0.22045443796450623,0.010058152522239903,0.010050239762714618,0.000735426687523044,0.021490179642607826,0.01959827664906572,0.02078768163970818,0.6439366240097502,0.5497105423522243,0.25311934107876827,arc_easy,150M
25,300,0.5883726150392817,0.07813734350977226,0.6961167227833893,0.0629770973570268,0.9776686746121482,-4.792383255104291,0.02,-4.656068008178925,0.09761793517462179,0.008292670263679474,0.009503757728858475,0.01936940984223103,0.0292124138598165,0.06333333333333334,0.03666666666666667,13.399999999999999,11.817499999999999,1.5825000000000002,14.036749999999998,14.95324505402343,16.628248993596884,0.11745093782964611,0.1449645364817999,0.005354789760822641,0.006609181927189396,0.00039150312609882037,0.019422215769638776,0.014288695351350477,0.015939360555917326,0.4988059701492537,0.3290298507462687,0.15115294443441776,arc_easy,300M
25,300,0.636705948372615,0.07203371800160537,0.6961167227833893,0.0629770973570268,0.990552603894205,-4.8202538966570785,0.3729391514073882,-4.656068008178925,0.09761793517462179,0.00806473926879635,0.009503757728858475,0.021087170308841673,0.033450018168957873,0.07333333333333333,0.023333333333333334,8.37325,6.4235,1.9497499999999999,8.222249999999999,10.02806265452385,12.976313333333975,0.07075707110883074,0.08590678386139095,0.0032175284152111683,0.00390642961617631,0.00023585690369610246,0.00011831951270817381,0.0040033858717798375,0.0019138795229980952,0.7618905442928373,0.3537157017884334,0.24595481138188988,arc_easy,530M
25,300,0.6176599326599326,0.06991311643592207,0.6961167227833893,0.0629770973570268,0.9849080029351754,-4.452534841027958,0.02,-4.656068008178925,0.09761793517462179,0.011649001147852197,0.009503757728858475,0.03374037156173411,0.050812374119823506,0.11666666666666667,0.056666666666666664,10.32375,7.1194999999999995,3.20425,10.307500000000001,13.051979698323713,17.405592659227157,0.07037282432596949,0.11943318059295427,0.003205993525533983,0.005441049259886548,0.00023457608108656496,0.000151358655886688,0.00480367232198667,0.0025443912840673803,0.9033297009323161,0.7521733866085483,0.3238789655136361,arc_easy,750M
25,300,0.5182670744138634,0.033629078111300545,0.6237893306150187,0.04149446372840885,-0.3184026934331065,-2.5378669608705806,0.5559861443355164,-3.588974236185766,0.2893726702229246,0.07903480445043791,0.02762665431625948,0.33449224796162863,0.3825207482526474,0.9633333333333334,0.64,169.982,140.63125,29.350749999999998,184.691,172.45936227245636,166.13690251511287,7.149452331008024,7.538093268731899,0.5786559559877641,0.6101114273920867,0.023831507770026746,0.060958232641007866,0.060891112359543455,0.0632992232176002,0.9453206810132838,0.543219282041628,0.294777153708962,boolq,4M
25,300,0.43297859327217125,0.04646810535418995,0.6237893306150187,0.04149446372840885,-0.5489931597771471,-3.619083384639835,1.2697857862254038,-3.588974236185766,0.2893726702229246,0.02680723715992048,0.02762665431625948,0.24215451347529932,0.30103888504764903,0.8533333333333334,0.4166666666666667,195.35275,173.18349999999998,22.16925,198.476,188.4857939730709,181.13673024493988,9.223179597868093,9.05988830927354,0.7483709093387171,0.7351214167059548,0.030743931992893644,0.11171467197703452,0.08540915556337618,0.10540835291604592,0.784908326092159,0.3354892623728102,0.21012962694007503,boolq,6M
25,300,0.4261121304791029,0.0,0.6237893306150187,0.04149446372840885,0.0,-3.158009059128004,0.8743681412187773,-3.588974236185766,0.2893726702229246,0.04251029236282615,0.02762665431625948,0.5,0.5,1.0,1.0,177.02625,177.02625,0.0,300.0,150.0,150.0,8.286273918703621,6.0526799488942675,0.6845128099179767,0.5,0.027620913062345404,0.036001770434057105,0.04891108234431813,0.02258752458926749,1.0,1.0,0.5,boolq,8M
25,300,0.42920285423037713,0.015384189745238145,0.6237893306150187,0.04149446372840885,-0.3762496274055322,-2.8004920615649245,0.38739359178101246,-3.588974236185766,0.2893726702229246,0.06078014769123766,0.02762665431625948,0.43475322797465255,0.4597955848869583,1.0,1.0,167.88850000000002,123.405,44.48350000000001,179.452,161.5716775996654,157.13393710711463,7.617153803941302,7.010601238202507,0.6325304841919687,0.5821621973003316,0.025390512679804342,0.04234822417652024,0.06367403998747567,0.1082872462833597,1.0,1.0,0.4151330437129211,boolq,10M
25,300,0.4385891946992864,0.022861841110550233,0.6237893306150187,0.04149446372840885,-0.3079200200339895,-2.92900667206362,0.7098379270086614,-3.588974236185766,0.2893726702229246,0.053450105267070544,0.02762665431625948,0.3461145584100794,0.39409368905206954,0.98,0.7933333333333333,147.15449999999998,117.9495,29.205000000000002,160.72925,158.19646853707422,156.20436169952575,6.847253734464038,7.140019184515397,0.5716658999174515,0.5961084035778549,0.022824179114880126,0.07641656541162806,0.05640173926785233,0.11826805004745979,0.9592265272213899,0.7211824986663677,0.32269153994444794,boolq,14M
25,300,0.4268501529051988,0.013744371205318193,0.6237893306150187,0.04149446372840885,-0.8397343308190685,-3.152052129195341,0.6915707791715514,-3.588974236185766,0.2893726702229246,0.04276427893489604,0.02762665431625948,0.4181484172887414,0.4446799046999693,0.9666666666666667,0.8833333333333333,167.009,144.28050000000002,22.7285,226.212,182.24461962249103,171.15651898567006,8.233998719484596,8.631611087691285,0.6804255729598517,0.7132827098953666,0.027446662398281987,0.20580813857070235,0.09151431594022753,0.205490614186059,0.9401229873839134,0.7924303480650745,0.3551195283518633,boolq,16M
25,300,0.429887869520897,0.022313762773624787,0.6237893306150187,0.04149446372840885,0.011387561443874636,-2.8579641320782585,0.02,-3.588974236185766,0.2893726702229246,0.057385470660573125,0.02762665431625948,0.39849633192009015,0.43480495511929196,1.0,0.95,150.6295,102.06675,48.562749999999994,146.74725,147.83813053647106,148.54595652451252,6.510801519770741,6.03189920345194,0.5370549239026791,0.4975518233602336,0.021702671732569137,0.026734825181195986,0.04442829351653573,0.03803884103539144,1.0,0.9735493379450905,0.4062088494026124,boolq,20M
25,300,0.519335372069317,0.0,0.6237893306150187,0.04149446372840885,0.0,-2.677124866055561,0.3599443184873889,-3.588974236185766,0.2893726702229246,0.06876056606297416,0.02762665431625948,0.5,0.5,1.0,1.0,147.17425,147.17425,0.0,300.0,150.0,150.0,6.142760002961888,6.048518807751831,0.5077904358244928,0.5,0.020475866676539625,0.013897026533066782,0.05083175539677517,0.022168159619569895,1.0,1.0,0.5,boolq,60M
25,300,0.5394780835881753,0.041414519473321906,0.6237893306150187,0.04149446372840885,0.6697575596361222,-2.879637365377849,0.02,-3.588974236185766,0.2893726702229246,0.05615512293405906,0.02762665431625948,0.3048435368868516,0.356588129983087,0.8633333333333333,0.64,109.5695,65.37899999999999,44.19050000000001,91.8,104.9500548988351,116.10722799633581,2.9450599635838173,2.72773894104942,0.23784068844311348,0.2202900163848631,0.009816866545279392,0.027798905964134257,0.028406447264061652,0.023645860613017395,0.9962991525926468,0.8931682630659079,0.4117497545532853,boolq,90M
