task,size,n_pairs,acc_seedmean,acc_singleseed,err,err_small_unstable,err_tgt_unstable,err_any_unstable,err_stable,share_err_any_unstable,share_err_small_unstable
piqa,6M,300,0.7266666666666667,0.658888888888889,82,64,38,76,6,0.926829268292683,0.7804878048780488
piqa,8M,300,0.7733333333333333,0.6866666666666666,68,47,31,56,12,0.8235294117647058,0.6911764705882353
piqa,10M,300,0.68,0.6233333333333333,96,64,40,78,18,0.8125,0.6666666666666666
piqa,14M,300,0.8266666666666667,0.7466666666666667,52,40,33,46,6,0.8846153846153846,0.7692307692307693
piqa,16M,300,0.7833333333333333,0.7322222222222222,65,53,31,62,3,0.9538461538461539,0.8153846153846154
piqa,20M,300,0.71,0.6622222222222222,87,65,40,77,10,0.8850574712643678,0.7471264367816092
piqa,60M,300,0.7033333333333334,0.6822222222222222,89,49,41,71,18,0.797752808988764,0.550561797752809
piqa,90M,300,0.7833333333333333,0.7222222222222223,65,56,34,63,2,0.9692307692307692,0.8615384615384616
piqa,150M,300,0.8033333333333333,0.7544444444444444,59,37,42,56,3,0.9491525423728814,0.6271186440677966
piqa,300M,300,0.8,0.7288888888888888,60,44,32,50,10,0.8333333333333334,0.7333333333333333
piqa,530M,300,0.8166666666666667,0.7655555555555557,55,45,32,50,5,0.9090909090909091,0.8181818181818182
piqa,750M,300,0.7966666666666666,0.7422222222222223,61,45,42,56,5,0.9180327868852459,0.7377049180327869
socialiqa,4M,300,0.45,0.46888888888888886,165,120,74,137,28,0.8303030303030303,0.7272727272727273
socialiqa,6M,300,0.58,0.5622222222222222,126,95,69,116,10,0.9206349206349206,0.753968253968254
socialiqa,8M,300,0.7633333333333333,0.6544444444444444,71,47,40,64,7,0.9014084507042254,0.6619718309859155
socialiqa,10M,300,0.6333333333333333,0.56,110,81,59,98,12,0.8909090909090909,0.7363636363636363
socialiqa,14M,300,0.6066666666666667,0.571111111111111,118,78,63,105,13,0.8898305084745762,0.6610169491525424
socialiqa,16M,300,0.7066666666666667,0.6233333333333333,88,64,57,79,9,0.8977272727272727,0.7272727272727273
socialiqa,20M,300,0.6166666666666667,0.5677777777777777,115,85,56,99,16,0.8608695652173913,0.7391304347826086
socialiqa,60M,300,0.73,0.6666666666666666,81,66,58,79,2,0.9753086419753086,0.8148148148148148
socialiqa,90M,300,0.65,0.6077777777777778,105,70,60,90,15,0.8571428571428571,0.6666666666666666
socialiqa,150M,300,0.6733333333333333,0.6322222222222222,98,76,61,91,7,0.9285714285714286,0.7755102040816326
socialiqa,300M,300,0.7433333333333333,0.7088888888888889,77,57,58,72,5,0.935064935064935,0.7402597402597403
socialiqa,530M,300,0.8133333333333334,0.7344444444444445,56,36,37,51,5,0.9107142857142857,0.6428571428571429
socialiqa,750M,300,0.82,0.7288888888888888,54,38,36,49,5,0.9074074074074074,0.7037037037037037
winogrande,4M,300,0.38333333333333336,0.4411111111111111,185,146,64,158,27,0.8540540540540541,0.7891891891891892
winogrande,6M,300,0.41333333333333333,0.43,176,128,65,144,32,0.8181818181818182,0.7272727272727273
winogrande,8M,300,0.5366666666666666,0.5133333333333333,139,122,60,131,8,0.9424460431654677,0.8776978417266187
winogrande,10M,300,0.5533333333333333,0.53,134,101,51,117,17,0.8731343283582089,0.753731343283582
winogrande,14M,300,0.43666666666666665,0.43888888888888894,169,123,60,144,25,0.8520710059171598,0.727810650887574
winogrande,16M,300,0.3433333333333333,0.39222222222222225,197,118,62,140,57,0.7106598984771574,0.5989847715736041
winogrande,20M,300,0.44333333333333336,0.46888888888888886,167,132,59,145,22,0.8682634730538922,0.7904191616766467
winogrande,60M,300,0.48,0.4977777777777777,156,126,60,136,20,0.8717948717948718,0.8076923076923077
winogrande,90M,300,0.46,0.47,162,125,55,140,22,0.8641975308641975,0.7716049382716049
winogrande,150M,300,0.4533333333333333,0.4655555555555555,164,113,58,128,36,0.7804878048780488,0.6890243902439024
winogrande,300M,300,0.7133333333333334,0.6366666666666667,86,75,41,83,3,0.9651162790697675,0.872093023255814
winogrande,530M,300,0.8,0.7344444444444445,60,47,30,55,5,0.9166666666666666,0.7833333333333333
winogrande,750M,300,0.69,0.6277777777777778,93,81,46,89,4,0.956989247311828,0.8709677419354839
